case_number,source,source_date_end
24-022906,dv_final_enriched.csv,2025-10-29
24-023131,dv_final_enriched.csv,2025-10-29
24-023376,dv_final_enriched.csv,2025-10-29
24-023725,dv_final_enriched.csv,2025-10-29
24-024053,dv_final_enriched.csv,2025-10-29
24-024402,dv_final_enriched.csv,2025-10-29
24-024759,dv_final_enriched.csv,2025-10-29
24-025518,dv_final_enriched.csv,2025-10-29
24-025807,dv_final_enriched.csv,2025-10-29
24-025911,dv_final_enriched.csv,2025-10-29
24-026003,dv_final_enriched.csv,2025-10-29
24-026076,dv_final_enriched.csv,2025-10-29
24-026521,dv_final_enriched.csv,2025-10-29
24-026578,dv_final_enriched.csv,2025-10-29
24-027214,dv_final_enriched.csv,2025-10-29
24-027893,dv_final_enriched.csv,2025-10-29
24-028362,dv_final_enriched.csv,2025-10-29
24-028707,dv_final_enriched.csv,2025-10-29
24-029481,dv_final_enriched.csv,2025-10-29
24-029783,dv_final_enriched.csv,2025-10-29
24-029802,dv_final_enriched.csv,2025-10-29
24-029841,dv_final_enriched.csv,2025-10-29
24-029847,dv_final_enriched.csv,2025-10-29
24-029865,dv_final_enriched.csv,2025-10-29
24-029922,dv_final_enriched.csv,2025-10-29
24-030019,dv_final_enriched.csv,2025-10-29
24-030229,dv_final_enriched.csv,2025-10-29
24-030606,dv_final_enriched.csv,2025-10-29
24-030949,dv_final_enriched.csv,2025-10-29
24-031052,dv_final_enriched.csv,2025-10-29
24-031215,dv_final_enriched.csv,2025-10-29
24-031397,dv_final_enriched.csv,2025-10-29
24-031402,dv_final_enriched.csv,2025-10-29
24-031802,dv_final_enriched.csv,2025-10-29
24-032012,dv_final_enriched.csv,2025-10-29
24-032414,dv_final_enriched.csv,2025-10-29
24-032496,dv_final_enriched.csv,2025-10-29
24-032672,dv_final_enriched.csv,2025-10-29
24-032930,dv_final_enriched.csv,2025-10-29
24-033049,dv_final_enriched.csv,2025-10-29
24-033087,dv_final_enriched.csv,2025-10-29
24-033187,dv_final_enriched.csv,2025-10-29
24-033220,dv_final_enriched.csv,2025-10-29
24-033289,dv_final_enriched.csv,2025-10-29
24-033427,dv_final_enriched.csv,2025-10-29
24-033642,dv_final_enriched.csv,2025-10-29
24-033900,dv_final_enriched.csv,2025-10-29
24-034386,dv_final_enriched.csv,2025-10-29
24-034427,dv_final_enriched.csv,2025-10-29
24-034988,dv_final_enriched.csv,2025-10-29
24-035186,dv_final_enriched.csv,2025-10-29
24-035357,dv_final_enriched.csv,2025-10-29
24-035502,dv_final_enriched.csv,2025-10-29
24-035599,dv_final_enriched.csv,2025-10-29
24-035729,dv_final_enriched.csv,2025-10-29
24-035771,dv_final_enriched.csv,2025-10-29
24-036499,dv_final_enriched.csv,2025-10-29
24-036587,dv_final_enriched.csv,2025-10-29
24-036627,dv_final_enriched.csv,2025-10-29
24-036906,dv_final_enriched.csv,2025-10-29
24-037125,dv_final_enriched.csv,2025-10-29
24-037419,dv_final_enriched.csv,2025-10-29
24-037714,dv_final_enriched.csv,2025-10-29
24-037778,dv_final_enriched.csv,2025-10-29
